80,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-22",9,0,1.02,241,272,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
81,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-23",10,0,1.02,281,315,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
82,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-24",11,0,1.02,339,371,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
83,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-25",12,0,1.02,392,440,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
84,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-26",13,0,1.02,468,515,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
85,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-27",14,0,1.02,546,598,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
86,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-28",15,0,1.02,629,694,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
87,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-29",16,0,1.02,685,757,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
88,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-03-01",17,0,1.02,778,842,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
89,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-03-02",18,0,1.02,859,1060,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
90,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-03-03",19,0,1.02,1089,1019,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
91,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-03-04",20,0,1.02,1060,1113,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
92,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-03-05",21,0,1.02,1195,1216,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
93,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-03-06",22,0,1.02,1203,1133,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
94,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-03-07",23,0,1.02,1150,1211,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
